Generation,Roulette,Tournament
0,1008705138.09,1016904834.35
1,1018249988.71,1026608089.49
2,1026878953.28,1031343618.68
3,1032233707.57,1033715508.83
4,1033867449.87,1037557629.14
5,1035281504.37,1041005772.17
6,1036165990.18,1045054851.81
7,1036532591.67,1050024596.98
8,1037048591.53,1052047685.98
9,1037499873.23,1052779221.60
10,1039700869.81,1054143348.41
11,1040414563.42,1056053865.83
12,1041703403.71,1058268003.90
13,1043485568.44,1059885392.13
14,1046762510.50,1062790502.30
15,1047716802.15,1062790502.30
16,1048014773.74,1063088997.43
17,1054324780.43,1063544845.06
18,1054622515.02,1065150885.13
19,1056327803.51,1065354498.25
20,1056327803.51,1067609850.79
21,1057168561.60,1068071834.46
22,1057972634.75,1069377796.09
23,1058031809.56,1069596730.18
24,1058180481.59,1069809097.14
25,1059367031.67,1070200080.70
26,1060287984.81,1070637523.35
27,1060533847.29,1071097064.67
28,1060889610.81,1072731922.85
29,1063530376.91,1073085005.10
30,1064903393.94,1073209217.36
31,1065320751.84,1073341587.85
32,1065480955.52,1075496743.05
33,1065643118.43,1076095306.51
34,1065677605.88,1076216014.60
35,1066792457.60,1076866454.09
36,1066792457.60,1076965445.80
37,1067773481.05,1077020356.20
38,1068794594.78,1078108574.56
39,1070171250.77,1078304608.91
40,1070171250.77,1078304608.91
41,1070171250.77,1078304608.91
42,1070171250.77,1078304608.91
43,1070956224.68,1078386052.47
44,1071062256.30,1078749212.30
45,1072226398.05,1079114714.12
46,1072335546.16,1079887910.41
47,1072441577.78,1080383634.88
48,1072441577.78,1080637186.65
49,1072528725.07,1080828140.86
