Generation,Roulette,Tournament
0,171.17,172.50
1,170.00,169.50
2,169.20,167.93
3,167.93,166.60
4,167.43,165.90
5,166.97,165.10
6,166.40,164.80
7,166.03,164.60
8,165.93,164.43
9,165.67,164.40
10,165.40,163.97
11,165.40,163.47
12,164.97,163.47
13,164.70,163.30
14,164.70,163.27
15,164.60,163.13
16,164.53,163.00
17,164.37,162.93
18,164.33,162.90
19,164.27,162.90
20,163.77,162.87
21,163.73,162.87
22,163.57,162.83
23,163.50,162.80
24,163.43,162.80
25,163.43,162.70
26,163.30,162.70
27,163.30,162.67
28,163.30,162.60
29,163.30,162.43
30,163.10,162.43
31,163.10,162.43
32,163.07,162.43
33,163.00,162.43
34,163.00,162.43
35,162.87,162.43
36,162.57,162.43
37,162.43,162.43
38,162.43,162.23
39,162.43,162.03
40,162.43,162.03
41,162.40,162.03
42,162.40,161.83
43,162.33,161.83
44,162.33,161.83
45,161.90,161.80
46,161.90,161.77
47,161.90,161.77
48,161.90,161.77
49,161.90,161.77
